tool,provider,model,task_id,difficulty,language,resolved,duration_ms,tokens_fresh,tokens_input,tokens_output,tokens_cache_read,tokens_cache_write,cost_usd,config_fingerprint,error
caveman,openai-codex,gpt-5.5,easy-ts-03-add-error-handling,easy,typescript,true,18685,14910,14308,602,24576,0,0.050944,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,easy-ts-03-add-error-handling,easy,typescript,true,68531,44971,44971,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,easy-ts-04-rename-variable,easy,typescript,true,10323,12754,12468,286,26112,0,0.041988,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,easy-ts-04-rename-variable,easy,typescript,true,24852,20668,20668,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-py-01-async-refactor,hard,python,false,35785,16141,15135,1006,53760,0,0.06636750000000001,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,hard-py-01-async-refactor,hard,python,false,100180,30745,30745,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-py-02-optimize-algorithm,hard,python,false,22459,16342,15664,678,40448,0,0.05944200000000001,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,hard-py-02-optimize-algorithm,hard,python,false,48303,29789,29789,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-py-03-decorator-pattern,hard,python,false,85105,12965,12899,66,0,0,0.0332375,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high","Error: spawnSync node ENOBUFS"
codex,,gpt-5.5,hard-py-03-decorator-pattern,hard,python,false,49768,25317,25317,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-py-04-concurrent-fix,hard,python,false,44292,34455,33186,1269,62464,0,0.117616,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,hard-py-04-concurrent-fix,hard,python,false,54634,27967,27967,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-ts-01-generic-refactor,hard,typescript,false,23800,14515,13576,939,39936,0,0.058009,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,hard-ts-01-generic-refactor,hard,typescript,false,46619,23541,23541,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-ts-02-state-machine,hard,typescript,false,39362,15259,14523,736,52736,0,0.0605315,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,hard-ts-02-state-machine,hard,typescript,true,73178,47670,47670,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,hard-ts-03-multi-file-refactor,hard,typescript,true,85242,26883,23775,3108,106496,0,0.1326815,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,hard-ts-03-multi-file-refactor,hard,typescript,true,81548,37967,37967,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-py-01-refactor-class,medium,python,true,22805,14755,14010,745,39424,0,0.056056,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,medium-py-01-refactor-class,medium,python,true,98903,51972,51972,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-py-02-fix-bug-with-test,medium,python,false,21026,18437,18002,435,76800,0,0.07073000000000002,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,medium-py-02-fix-bug-with-test,medium,python,false,38976,42739,42739,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-py-03-add-cli-arg,medium,python,false,16143,27945,27575,370,37888,0,0.0839595,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,medium-py-03-add-cli-arg,medium,python,false,54379,15035,15035,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-py-04-fix-json-parser,medium,python,false,28975,20174,19602,572,70656,0,0.075249,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,medium-py-04-fix-json-parser,medium,python,false,47914,46162,46162,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-ts-01-extract-function,medium,typescript,false,24870,28237,27368,869,12288,0,0.084527,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,medium-ts-01-extract-function,medium,typescript,false,52148,14433,14433,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-ts-02-replace-api,medium,typescript,true,56676,37670,35800,1870,91648,0,0.14046200000000003,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,medium-ts-02-replace-api,medium,typescript,true,93105,68370,68370,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-ts-03-fix-failing-test,medium,typescript,true,18729,15623,15188,435,59392,0,0.059343,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,medium-ts-03-fix-failing-test,medium,typescript,true,130048,67336,67336,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-ts-04-create-module,medium,typescript,true,30599,13610,13217,393,38400,0,0.0485375,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,medium-ts-04-create-module,medium,typescript,true,34841,31617,31617,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-ts-05-implement-interface,medium,typescript,true,34103,27050,26258,792,52736,0,0.09070900000000001,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,medium-ts-05-implement-interface,medium,typescript,true,43047,22995,22995,0,,,,"sandbox=workspace-write,model=gpt-5.5",
caveman,openai-codex,gpt-5.5,medium-ts-06-wire-event-handler,medium,typescript,true,31766,17685,16641,1044,51200,0,0.0700625,"rtk=on,cave-mode=ultra,tool-compression=on,ml=on,model=gpt-5.5,thinking=high",
codex,,gpt-5.5,medium-ts-06-wire-event-handler,medium,typescript,true,54669,26663,26663,0,,,,"sandbox=workspace-write,model=gpt-5.5",
