prose,compression,seed,model,task,resolved,input,output,cacheRead,cacheWrite,cost
full,on,0,claude-sonnet-4-6,"astropy__astropy-13033",0,20,4261,391679,26598,0.2812212
full,on,0,claude-sonnet-4-6,"django__django-10097",0,26,12645,677100,44817,0.56094675
full,on,0,claude-sonnet-4-6,"django__django-10554",0,,,,,
full,on,0,claude-sonnet-4-6,"matplotlib__matplotlib-13989",1,7,1299,96577,23209,0.13551285000000002
full,on,0,claude-sonnet-4-6,"matplotlib__matplotlib-14623",1,24,6158,548500,40886,0.4103145
full,on,0,claude-sonnet-4-6,"mwaskom__seaborn-3069",1,84,18251,3492515,206270,2.095284
full,on,0,claude-sonnet-4-6,"mwaskom__seaborn-3187",0,43,18885,1287470,84046,0.9848175
full,on,0,claude-sonnet-4-6,"pallets__flask-5014",1,16,2028,265596,30240,0.2235468
full,on,0,claude-sonnet-4-6,"psf__requests-1142",1,11,2774,176434,26547,0.19412445
full,on,0,claude-sonnet-4-6,"psf__requests-1724",1,6,646,74045,26162,0.130029
full,on,0,claude-sonnet-4-6,"pydata__xarray-2905",1,25,10217,583094,42112,0.48617819999999995
full,on,0,claude-sonnet-4-6,"pydata__xarray-3095",1,29,7284,645993,66229,0.55150365
full,on,0,claude-sonnet-4-6,"pylint-dev__pylint-4551",0,32,13607,1069867,82019,0.83273235
full,on,0,claude-sonnet-4-6,"pylint-dev__pylint-4604",0,35,7148,805328,49918,0.5361159
full,on,0,claude-sonnet-4-6,"pytest-dev__pytest-10051",0,10,1950,151455,24577,0.16688025
full,on,0,claude-sonnet-4-6,"pytest-dev__pytest-10081",1,12,4981,225621,50550,0.3319998
full,on,0,claude-sonnet-4-6,"scikit-learn__scikit-learn-10297",1,9,2024,135702,25816,0.16790760000000002
full,on,0,claude-sonnet-4-6,"sphinx-doc__sphinx-10323",0,,,,,
full,on,0,claude-sonnet-4-6,"sympy__sympy-11618",1,23,4779,446938,29636,0.31697040000000004
full,off,0,claude-sonnet-4-6,"astropy__astropy-12907",1,18,4224,366960,31489,0.29158575
full,off,0,claude-sonnet-4-6,"astropy__astropy-13033",0,35,11603,879574,41507,0.5936734499999999
full,off,0,claude-sonnet-4-6,"django__django-10097",0,25,12508,663586,47947,0.56657205
full,off,0,claude-sonnet-4-6,"django__django-10554",0,,,,,
full,off,0,claude-sonnet-4-6,"matplotlib__matplotlib-13989",1,8,1497,115503,22794,0.1426074
full,off,0,claude-sonnet-4-6,"matplotlib__matplotlib-14623",1,37,8754,893502,41218,0.5540391
full,off,0,claude-sonnet-4-6,"mwaskom__seaborn-3069",1,73,17029,2892082,150597,1.6880173500000002
full,off,0,claude-sonnet-4-6,"mwaskom__seaborn-3187",0,67,27703,2489206,288475,2.24428905
full,off,0,claude-sonnet-4-6,"pallets__flask-5014",1,15,2131,244033,29931,0.21746115
full,off,0,claude-sonnet-4-6,"psf__requests-1142",1,11,3213,179318,28395,0.20850464999999999
full,off,0,claude-sonnet-4-6,"psf__requests-1724",0,6,834,74125,26827,0.13536675
full,off,0,claude-sonnet-4-6,"pydata__xarray-2905",0,,,,,
full,off,0,claude-sonnet-4-6,"pydata__xarray-3095",1,34,8055,845988,89262,0.7094559
full,off,0,claude-sonnet-4-6,"pylint-dev__pylint-4551",0,55,18966,2059453,92590,1.2497033999999998
full,off,0,claude-sonnet-4-6,"pylint-dev__pylint-4604",0,41,8054,1017271,53905,0.62825805
full,off,0,claude-sonnet-4-6,"pytest-dev__pytest-10051",0,10,2367,152547,23850,0.17073660000000002
full,off,0,claude-sonnet-4-6,"pytest-dev__pytest-10081",1,14,4979,276115,49240,0.3422115
full,off,0,claude-sonnet-4-6,"scikit-learn__scikit-learn-10297",1,11,1995,175629,26295,0.18125295000000002
full,off,0,claude-sonnet-4-6,"sphinx-doc__sphinx-10323",0,,,,,
full,off,0,claude-sonnet-4-6,"sympy__sympy-11618",1,12,2017,189190,21532,0.167793
